百万美元宝贝,8.5,5,表面上是讲百万美元宝贝的，本质上确实讲经理人弗兰基的，经典,2018-07-15 13:56:38
弱点,8.4,4,平凡的好看,2018-07-15 10:21:04
X战警：逆转未来,8.2,3,最喜欢的应该是把逆转未来比喻成向河里投石，虽然能起涟漪，但改变不了历史进程,2018-07-14 22:02:08
红高粱,8.3,3,30年前的电影，现在看也就那样啊，为啥评价这么高呢，不懂不懂,2018-07-14 18:27:33
背靠背，脸对脸,9.4,4,符合中国国情,2018-07-14 00:53:00
金刚狼,7.3,3,乏味啊=。=,2018-07-12 21:13:37
X战警3：背水一战,7.5,2,剧情支离破碎啊 人物关系也乱的一逼,2018-07-12 19:02:54
X战警2,7.6,3,有点太长了，剧情不够饱满,2018-07-11 20:35:55
X战警,7.6,3,小淘气挺可爱的,2018-07-11 03:47:13
二十二,8.7,4,带来了反思，但是是否对慰安妇有所帮助，存疑,2018-07-09 20:46:36
我不是药神,9.0,4,从电影角度来看，没有那么神吧,2018-07-05 21:59:52
羞羞的铁拳,6.9,3,是否过于性别脸谱化了呢？,2018-07-01 19:35:27
公民凯恩,8.6,4,业余选手看热闹，没看出什么门道，但也秒杀大部分电影了,2018-06-30 22:30:56
燃烧,7.9,5,挺好看的，隐喻多，结局开放，女主很美,2018-06-17 16:56:40
千年女优,8.6,3,欣赏不来，看过的日本电影太少，也没被所谓的爱情追逐游戏感动,2018-06-03 19:25:50
忌日快乐,7.1,3,还行吧，bug有点多，结局猜到了，不过反转那下还不错,2018-06-02 12:43:24
红海行动,8.3,3,一般啊……剧情弱，bug多，比战狼2好点吧,2018-05-23 20:43:58
犬之岛,8.3,3,一般吧，满满的 布达佩斯大饭店 风格，厌了,2018-04-29 20:00:20
西北风云,3.4,1,什么jb玩意儿,2018-04-17 19:01:57
湮灭,7.2,4,感觉没降临好看？但还是很棒啊,2018-04-17 00:36:34
毕业作品,3.4,2,女主太丑了，演技全程尴尬，穿插的微色情也是低俗的可以，剧本太简单了，最后老宋为子杀人也有点莫名其妙，不及格的毕业作品吧。,2018-04-16 18:14:21
寻找罗麦,4.3,2,导演什么都想表现，又什么都表现的不够，韩庚还演得跟个傻子似的，真是强行文艺，最为致命。,2018-04-16 15:09:27
狂暴巨兽,6.4,3,商业片，真的粗暴,2018-04-16 12:31:10
通勤营救,6.6,3,还不错，及格爆米花,2018-04-11 20:15:54
起跑线,7.9,4,很成熟的印度喜剧了，还讽刺了他国教育，不错,2018-04-05 20:45:38
奇葩朵朵,4.2,2,结尾那个演出挺好看的。,2018-04-05 16:15:39
暴裂无声,8.2,4,没心迷宫好看吧，中规中矩的悬疑片，俩小孩儿一起从洞穴出来那块没看懂，还以为张磊的尸体被扔进洞穴了呢,2018-04-05 14:26:40
头号玩家,8.7,4,剧情弱了点，其他都很完美，很多梗都是知道而没看过，抽时间补梗,2018-04-04 20:58:04
战狼2,7.1,3,比第一部稍微好点，看起来爽了，但是抛开打斗场面的爽感之后呢，很空洞，很扯,2018-02-18 16:40:17
战狼,6.8,2,剧本俗套，bug太多，女主和一众配角演技太差，逻辑混乱,2018-02-18 01:47:30
小城之春,8.6,4,好电影不随时间流逝而改变,2018-02-17 12:36:33
暖春,7.9,3,感觉和《妈妈再爱我一次》一个类型，就是拼命煽情。翠花这孩子真是以德报怨的典范啊，自愧不如。,2018-02-17 02:47:06
猜火车2,8.0,4,大概这也是青春吧，满满的回忆,2018-02-17 00:35:04
魅影缝匠,7.5,3,不太能欣赏啊,2018-02-15 22:23:45
灾难艺术家,7.6,2,为什么烂片的传记式电影分这么高,2018-02-13 17:49:53
罗曼先生，你好,6.7,3,前面太沉闷啦，看不下去，感觉导演想表达的有点表达不出来的意思,2018-02-12 21:44:15
大病,7.5,4,可能是近来最好看最令人舒服的爱情电影了,2018-02-11 20:22:51
普通女人,7.3,4,女主是变性人？,2018-02-10 23:00:13
我，花样女王,8.0,3,纪录片似的电影,2018-02-10 12:09:20
方形,7.7,4,有点点讽刺,2018-02-08 23:36:18
宝贝老板,7.4,2,真无趣，给小孩子看的吧,2018-02-07 20:21:41
维多利亚与阿卜杜勒,6.3,3,女王不为人知的一面？感觉剧本很单薄啊,2018-02-06 23:13:37
至爱梵高·星空之谜,8.5,4,有点罗生门的味道,2018-02-06 20:17:24
华盛顿邮报,8.2,4,影帝+影后+斯皮尔伯格的阵容太强大了,2018-02-01 22:24:39
茉莉牌局,7.2,4,前半段太闷了，后半段够精彩，和律师，和父亲的谈话都很棒啊，另外女主的另一部电影斯隆女士也特别棒,2018-01-31 23:12:40
无爱可诉,7.3,4,母亲关门孩子大哭的镜头太经典了……另外孩子怎么死的，车祸么？身上全是伤疤,2018-01-30 19:17:52
伯德小姐,7.9,4,青春期少女成长记，好喜欢lady bird喝母亲互怼的桥段,2018-01-29 20:59:07
至暗时刻,8.6,4,全程都很燃，加里奥德曼把丘吉尔演得入木三分啊，看好拿影帝。莉莉詹姆斯的花瓶角色真的只是花瓶的感觉啊，不过花瓶也好看，还有史坦尼斯乱入啊哈哈。,2018-01-29 16:50:55
泥土之界,7.3,2,种族歧视真的审美疲劳了😪,2018-01-28 20:11:14
水形物语,7.2,3,科幻童话,2018-01-28 16:01:54
